business_id,business_name,city,state,categories,review_id,clean_text,date,review_stars,review_length
j99PtxlKTW_u5alE4jiqHQ,Ralphs Italian Restaurant,Philadelphia,PA,"Restaurants, Italian",MLn2jcDUSnJTOAxwhdxNfQ,i have been told by numerous native philadelphians that ralphs is one of the best italian restaurants in the city and is a must to experience we did not think so we started off with a grilled calamari appetizer that was soaked in salty red sauce the amount of sauce overwhelmed the palate to the point where we couldnt even taste the calamari i got the pasta bolognese with filet mignon tips again the red sauce was very salty the filet mignon tips was really just average quality beef my wife ordered the black lobster ravioli which were decent but overly salty we expected much more from the oldest italian restaurant in the country,2012-06-27 01:57:18,2,114
Sw7qcWQ5_iOUjBZMhSxyOQ,Ted Peter's Famous Smoked Fish,South Pasadena,FL,"Seafood, Burgers, Restaurants",JoOg4wD4bc6MJNU-doOihg,i love this place since i moved down to florida i make a stop there once every month almost we ordered the fish spread to start man clam chowder and mahi mahi while my wife ordered the mullet meal with the 2 sides of potato salad and the cole slaw the soup wasnt really hot and my fish was really dry but with the help of the horse radish and mayo i manage to moist it loved the potato salad over all good experience,2016-06-14 01:19:12,4,84
O6hY9yenifuRXrpc4TfgsQ,The Blue Duck,Philadelphia,PA,"Restaurants, American (New), Burgers, Breakfast & Brunch, Sandwiches",hYg_PhzUpSP_n4zvfHLkBQ,a coworker recommended this place i went with my wife for our dinner and we both got some kind of burger i myself was ok with the food but it was kind of pricey my wife didnt really like anything on the menu but then again we just went without looking at the menu so the restaurant is not to be blamed the service was great and so was the setting overall a pleasant experience,2018-04-28 16:22:55,5,75
_RwlMTw9uFeOkfX9Ctf1HA,Dinardo's Famous Crabs,Philadelphia,PA,"American (Traditional), Food, Restaurants, Seafood",MFSNVmnDPk4ryNe3wp1YiQ,i think i was expecting something a little more upscale at dinardos but it didnt really hold up the place was too bright for a good date night spot and the decorations including the placemats were hokey the food was all right the wait staff was fantastic the sole reason to go is the staff honestly their platters come with insanely salty fries and a few strings of green clams casino were all right but each clam was small so you dont get a nice flavor i was disappointed in short this place is not terrible but i wont be going back any time soon,2012-11-06 19:01:26,2,105
bXjnfT69E8DJinX-ifOofA,Wings Over Broadway,Tucson,AZ,"Chicken Wings, Restaurants, Sandwiches, Burgers",_N1bAbtWywyROnhK7EJx_Q,like their wings not too big therefore very flavorful the price is less competitive though new location is further east than the old one but much bigger,2017-12-19 04:02:41,4,27
4SQ5uczVt66-GGGeNQRfEA,Rotten Ralph's,Philadelphia,PA,"Nightlife, Restaurants, American (Traditional), Pubs, Bars",0wLRoAWtY6Sboa0ejfzOlA,i stumbled into this establishment my first trip to philly a week ago the food was excellent and the staff was friendly and helpful it was an excellent experience for my first time in philly i would recommend this establishment to anyone looking for a great atmosphere and good food as a resident of small town nc a gigging musician i have been to many many bars this one ranks among the most fun keep it up rotten ralphs,2014-03-18 08:52:16,4,79
2zocwC7qMq3LsivPn9Z-Eg,Gryphon Cafe,Wayne,PA,"Restaurants, Coffee Roasteries, Coffee & Tea, Food, Breakfast & Brunch, Sandwiches, Bagels",RaYPcvxuWXaviRJx9pvr2w,love their soup and sandwich deal super delicious coffee too the ambiance is lovely and the photos along the walls make gryphon really feel like the neighborhood gem that it is,2013-01-06 19:08:20,4,31
jlkDIOPoRP9SJXTkRVpkMQ,BFF Cafe,Reno,NV,"Greek, Food, American (New), Specialty Food, Cafes, Restaurants, Breakfast & Brunch, Vegetarian, Gluten-Free, Diners, Burgers",Qjna-CiQgi38FOjG_4wDGw,i like yelp for this very reason new place decent buzz needed to try it myself that said i feel its an ok start to a place that has potential my biggest concern is that the dishes are small also a bit on the pricey side i had the cauliflower pizza it was good but waaaaaay too small for 8 i had the zoodles which was a greek salad made out of zucchini noodles it was good but pricey at 8 as well i feel this place could be good over time but it felt sort of i dont knowrushed add more food for the money or drop the prices at least 1 across the board,2015-11-19 02:34:23,3,116
oThWInL6gUCt2d98fSIAfA,Chatham Tap Fishers,Fishers,IN,"Restaurants, Food, Beer, Wine & Spirits, Nightlife, British, American (Traditional), American (New), Chicken Wings, Bars, Pubs",b_M3ly0ZK6uRMZhtmMDsPA,ive come here almost on a weekly basis for the past few years to watch soccer an excellent place to watch a match there is not place that can compare outside of the downtown location the food ranges from decent to delicious im certain that the pizza here is the best in the area by far,2013-08-17 04:11:53,4,56
PY9GRfzr4nTZeINf346QOw,Peppermill Reno,Reno,NV,"Event Planning & Services, Casinos, Beauty & Spas, Venues & Event Spaces, Arts & Entertainment, Day Spas, Hotels, Hotels & Travel",CIqQnlhkEpQ80UD_a0UmQQ,if i was a legal prostitute in the fine state of nevada i would only do business in the peppermill the tuscany tower rooms are gorgeous and make you feel like a pretty princess king size beds huge jetted tub plush carpet its not nasty stained or broken i could vacation here and be totally fine with never leaving the room,2012-01-05 08:44:55,5,61
tvEe4bEpuSNwsOCqv8cZtg,Glam Nail Lounge,Newtown Square,PA,"Beauty & Spas, Eyelash Service, Day Spas, Nail Salons, Hair Removal, Waxing",17XXNbN3R5CLmAJoSdVckQ,beautiful new nail salon on west chester pike staff is friendly the salon is brand new prices are good very serene colors pedi chairs have phone chargers definitely recommend it,2017-06-06 20:06:05,5,30
-1MhPXk1FglglUAmuPLIGg,Red Garter Saloon,Tucson,AZ,"Nightlife, Burgers, Sports Bars, Bars, Restaurants, Dive Bars, Soup",HHpsfEqFewJuf3x75pUJUA,came out on a friday night to get something to drink and eat and it happened to be on a ua basketball night granted we figured it would be busy but the service was pretty inexcusable we even waited about 15 minutes to even get seen and then from the time that she served us drinks another 15 minutes to take her food order and you get the picture the food was pretty good the wings were great the black and blue burger was great but the combo basket was bland whats worse is staff was put off when we would ask for our waitress maybe we will sit inside instead of the patio and hope for better service,2014-11-15 03:42:30,2,119
